fault_rate,num_rows,injection_rate,system.ruby.network.average_flit_latency,system.ruby.network.average_packet_latency,system.ruby.network.flits_received::total,system.ruby.network.packets_received::total
0.0,4,0.02,5270.833333,5718.75,96.0,32.0
0.0,4,0.02,5270.833333,5718.75,96.0,32.0
0.0,4,0.02,5270.833333,5718.75,96.0,32.0
0.0,4,0.02,5270.833333,5718.75,96.0,32.0
0.0,4,0.02,5270.833333,5750.0,96.0,32.0
0.0,4,0.03,5270.833333,5750.0,96.0,32.0
0.0,4,0.03,5270.833333,5750.0,96.0,32.0
0.0,4,0.03,5270.833333,5718.75,96.0,32.0
0.0,4,0.03,5270.833333,5718.75,96.0,32.0
0.0,4,0.03,5270.833333,5718.75,96.0,32.0
0.0,4,0.04,5270.833333,5718.75,96.0,32.0
0.0,4,0.04,5270.833333,5718.75,96.0,32.0
0.0,4,0.04,5135.416667,5609.375,96.0,32.0
0.0,4,0.04,5270.833333,5718.75,96.0,32.0
0.0,4,0.04,5270.833333,5718.75,96.0,32.0
0.0,4,0.05,5270.833333,5718.75,96.0,32.0
0.0,4,0.05,5270.833333,5718.75,96.0,32.0
0.0,4,0.05,5270.833333,5750.0,96.0,32.0
0.0,4,0.05,5270.833333,5718.75,96.0,32.0
0.0,4,0.05,5270.833333,5718.75,96.0,32.0
0.0,4,0.06,5270.833333,5750.0,96.0,32.0
0.0,4,0.06,5270.833333,5718.75,96.0,32.0
0.0,4,0.06,5270.833333,5750.0,96.0,32.0
0.0,4,0.06,5270.833333,5750.0,96.0,32.0
0.0,4,0.06,5270.833333,5750.0,96.0,32.0
0.0,4,0.07,5270.833333,5718.75,96.0,32.0
0.0,4,0.07,5270.833333,5750.0,96.0,32.0
0.0,4,0.07,5270.833333,5750.0,96.0,32.0
0.0,4,0.07,5270.833333,5750.0,96.0,32.0
0.0,4,0.07,5270.833333,5750.0,96.0,32.0
0.0,4,0.08,5270.833333,5750.0,96.0,32.0
0.0,4,0.08,5270.833333,5750.0,96.0,32.0
0.0,4,0.08,5270.833333,5718.75,96.0,32.0
0.0,4,0.08,5270.833333,5718.75,96.0,32.0
0.0,4,0.08,5270.833333,5750.0,96.0,32.0
0.0,4,0.09,5270.833333,5718.75,96.0,32.0
0.0,4,0.09,5270.833333,5750.0,96.0,32.0
0.0,4,0.09,5270.833333,5718.75,96.0,32.0
0.0,4,0.09,5270.833333,5750.0,96.0,32.0
