fault_rate,num_rows,num_cols,injection_rate,system.ruby.network.average_flit_latency,system.ruby.network.average_packet_latency,system.ruby.network.flits_received::total,system.ruby.network.packets_received::total
0.0,4,4,0.02,10138.580931,9631.322957,902.0,514.0
0.0,4,4,0.02,10282.58427,9508.823529,890.0,510.0
0.0,4,4,0.02,10223.831776,9622.013652,1070.0,586.0
0.0,4,4,0.02,10110.132159,9696.768061,908.0,526.0
0.0,4,4,0.02,10139.667705,9633.393829,963.0,551.0
0.0,4,4,0.02,9910.764873,9497.737557,706.0,442.0
0.0,4,4,0.02,9936.200378,9458.206687,1058.0,658.0
0.0,4,4,0.02,10195.696721,9635.185185,976.0,540.0
0.0,4,4,0.02,10101.102941,9631.637168,816.0,452.0
0.0,4,4,0.02,10310.463968,9651.408451,1013.0,568.0
0.0,4,4,0.04,10036.02812,9344.23676,1138.0,642.0
0.0,4,4,0.04,10074.035454,9584.095064,959.0,547.0
0.0,4,4,0.04,10078.225069,9402.542373,1093.0,590.0
0.0,4,4,0.04,10146.825397,9498.618785,1260.0,724.0
0.0,4,4,0.04,9895.437262,9408.805031,1052.0,636.0
0.0,4,4,0.04,10191.65247,9560.921248,1174.0,673.0
0.0,4,4,0.04,10078.125,9359.589041,1024.0,584.0
0.0,4,4,0.04,9703.125,9298.076923,896.0,572.0
0.0,4,4,0.04,10099.082569,9498.422713,1090.0,634.0
0.0,4,4,0.04,9881.447964,9281.591264,1105.0,641.0
0.0,4,4,0.06,9997.016198,9194.824962,1173.0,657.0
0.0,4,4,0.06,9906.660824,9127.145086,1141.0,641.0
0.0,4,4,0.06,10001.001001,9485.68873,999.0,559.0
0.0,4,4,0.06,9697.483059,9090.452261,1033.0,597.0
0.0,4,4,0.06,9427.807487,9190.0,748.0,500.0
0.0,4,4,0.06,9965.032154,9370.714286,1244.0,700.0
0.0,4,4,0.06,10081.651376,9408.945687,1090.0,626.0
0.0,4,4,0.06,9728.317659,9398.819562,957.0,593.0
0.0,4,4,0.06,10072.92506,9386.792453,1241.0,689.0
0.0,4,4,0.06,10052.714398,9374.823197,1271.0,707.0
0.0,4,4,0.08,8909.441233,9242.168675,519.0,415.0
0.0,4,4,0.08,10306.782334,9616.714697,1268.0,694.0
0.0,4,4,0.08,9775.0,9194.630872,1020.0,596.0
0.0,4,4,0.08,9978.748068,9198.630137,1294.0,730.0
0.0,4,4,0.08,9946.88027,9295.107034,1186.0,654.0
0.0,4,4,0.08,9981.199642,9327.613105,1117.0,641.0
0.0,4,4,0.08,10281.409168,9596.330275,1178.0,654.0
0.0,4,4,0.08,10019.88401,9373.333333,1207.0,675.0
0.0,4,4,0.08,9046.106557,9050.0,488.0,360.0
0.0,4,4,0.08,10247.767857,9429.945055,1344.0,728.0
0.0,4,4,0.1,9963.570128,9386.507937,1098.0,630.0
0.0,4,4,0.1,8884.90566,9126.903553,530.0,394.0
0.0,4,4,0.1,9921.198157,9247.217806,1085.0,629.0
0.0,4,4,0.1,9877.087199,9192.18241,1078.0,614.0
0.0,4,4,0.1,9988.563586,9424.336973,1093.0,641.0
0.0,4,4,0.1,9732.668067,9324.823944,952.0,568.0
0.0,4,4,0.1,10041.666667,9330.030488,1200.0,656.0
0.0,4,4,0.1,9538.507822,9082.851638,831.0,519.0
0.0,4,4,0.1,10142.966361,9513.888889,1308.0,720.0
0.0,4,4,0.1,10140.107775,9441.678521,1299.0,703.0
