fault_rate,num_rows,injection_rate,system.ruby.network.average_flit_latency,system.ruby.network.average_packet_latency,system.ruby.network.flits_received::total,system.ruby.network.packets_received::total
0.0,4,0.02,9876.063183,9356.687898,823.0,471.0
0.0,4,0.02,9902.412281,9386.19403,912.0,536.0
0.0,4,0.02,10201.980198,9666.051661,1010.0,542.0
0.0,4,0.02,10073.696145,9655.063291,882.0,474.0
0.0,4,0.02,9798.115079,9401.006711,1008.0,596.0
0.0,4,0.03,10070.137694,9380.630631,1162.0,666.0
0.0,4,0.03,9773.593466,9302.839117,1102.0,634.0
0.0,4,0.03,9613.464448,9354.114713,661.0,401.0
0.0,4,0.03,9923.003802,9335.784314,1052.0,612.0
0.0,4,0.03,9879.725086,9415.340087,1164.0,691.0
0.0,4,0.04,9768.292683,9336.052202,1025.0,613.0
0.0,4,0.04,9890.612878,9309.256662,1289.0,713.0
0.0,4,0.04,9739.941119,9190.243902,1019.0,615.0
0.0,4,0.04,9931.494662,9377.165354,1124.0,635.0
0.0,4,0.04,9824.794145,9239.2,1093.0,625.0
0.0,4,0.05,8646.624473,8960.732984,474.0,382.0
0.0,4,0.05,9697.269303,9129.87013,1062.0,616.0
0.0,4,0.05,9912.671233,9282.934132,1168.0,668.0
0.0,4,0.05,9879.679144,9109.756098,1309.0,738.0
0.0,4,0.05,10071.07438,9409.74212,1210.0,698.0
0.0,4,0.06,8627.622378,8932.432432,572.0,444.0
0.0,4,0.06,10001.603849,9305.991441,1247.0,701.0
0.0,4,0.06,9917.562724,9263.931889,1116.0,646.0
0.0,4,0.06,9723.800196,9142.036125,1021.0,609.0
0.0,4,0.06,9840.659341,9118.710692,1092.0,636.0
0.0,4,0.07,9852.8157,9163.461538,1172.0,676.0
0.0,4,0.07,9842.298289,9171.761281,1227.0,687.0
0.0,4,0.07,9765.334572,9176.948052,1076.0,616.0
0.0,4,0.07,9254.225352,9129.66805,710.0,482.0
0.0,4,0.07,9861.27917,9182.361734,1157.0,669.0
0.0,4,0.08,9856.282272,9203.647416,1162.0,658.0
0.0,4,0.08,9207.908163,9116.477273,784.0,528.0
0.0,4,0.08,9636.894825,8873.893805,1198.0,678.0
0.0,4,0.08,9527.991218,9122.574956,911.0,567.0
0.0,4,0.08,9771.621622,9156.940063,1110.0,634.0
0.0,4,0.09,9968.441065,9292.984869,1315.0,727.0
0.0,4,0.09,9784.349409,9169.341894,1099.0,623.0
0.0,4,0.09,10185.507246,9360.962567,1380.0,748.0
0.0,4,0.09,9453.608247,9053.604436,873.0,541.0
0.0,4,0.09,9150.359712,9074.736842,695.0,475.0
0.0,4,0.1,8808.641975,8725.848564,567.0,383.0
0.0,4,0.1,9784.240924,9041.415663,1212.0,664.0
0.0,4,0.1,9896.594684,9183.779762,1204.0,672.0
0.0,4,0.1,9898.839138,9210.294118,1206.0,680.0
0.0,4,0.1,9821.109123,9187.301587,1118.0,630.0
0.0,4,0.11,9814.976228,9061.959654,1262.0,694.0
0.0,4,0.11,9867.624224,9110.955056,1288.0,712.0
0.0,4,0.11,9694.368756,9159.125189,1101.0,663.0
0.0,4,0.11,9775.020678,9105.109489,1209.0,685.0
0.0,4,0.11,9713.723776,9050.154321,1144.0,648.0
0.0,4,0.12,10019.721578,9249.643367,1293.0,701.0
0.0,4,0.12,9491.299304,8981.549815,862.0,542.0
0.0,4,0.12,9929.659498,9220.496894,1116.0,644.0
0.0,4,0.12,9275.11592,9079.196217,647.0,423.0
0.0,4,0.12,10010.180995,9336.253369,1326.0,742.0
0.0,4,0.13,9737.719298,9105.015674,1140.0,638.0
